公司名,公司类型,电话,邮箱,地址,资金
北京阿里巴巴信息技术有限公司,有限责任公司(外商投资企业与内资合资),0571-85022088,shizhou.fsz@alibaba-inc.com,北京市朝阳区西大望路甲12号(国家广告产业园区)B座6层  ,56000万人民币
深圳市智信新信息技术有限公司,有限责任公司,13145904189,bcginquiries@hihonor.com,广东省深圳市福田区香蜜湖街道东海社区红荔西路8089号深业中城6号楼A单元3401  ,307300.636484万人民币
爱钱进（北京）信息科技有限公司,有限责任公司(法人独资),010-85608368,bd@finupgroup.com,北京市东城区南竹杆胡同2号1幢14层51722  ,100000万人民币
广州虎牙信息科技有限公司,有限责任公司(法人独资),020-22907887,zhouxiahuan@yy.com,广州市番禺区钟村街（汉溪商业中心）泽溪街13号1401  ,92293万人民币
软通动力信息技术（集团）股份有限公司,股份有限公司（港澳台投资、未上市）,010-58749892,contact@isoftstone.com,北京市海淀区西北旺东路10号院东区16号楼5层502  ,36000万人民币
阿里巴巴（张家口）信息科技有限公司,有限责任公司(外商投资企业法人独资),0571-85022088,gsll@service.alibaba.com,河北省张家口市宣化区宣府大街182号河北宣化经济开发区管委会B座408室  ,50000万人民币
北京玖富普惠信息技术有限公司,有限责任公司(法人独资),010-85276996,caiwu@9fbank.cc,北京市房山区阎富路69号院59号楼-1至3层101一层02  ,200000万人民币
上海拍拍贷金融信息服务有限公司,有限责任公司（自然人投资或控股的法人独资）,021-80303200,kefu@ppdai.com,中国（上海）自由贸易试验区丹桂路999弄20号  ,100000万人民币
北京京东世纪信息技术有限公司,有限责任公司(外商投资企业法人独资),59547000,11521689@qq.com,北京市北京经济技术开发区科创十一街18号院C座2层215室  ,50000万人民币
中国电子信息产业集团有限公司,有限责任公司(国有独资),010-83026500,wuxj@cec.com.cn,北京市海淀区中关村东路66号甲1号楼19层  ,1848225.199664万人民币
航天信息股份有限公司,其他股份有限公司(上市),010-88896023,master@aisino.com,北京市海淀区杏石口路甲18号  ,186285.1248万人民币
信息产业电子第十一设计研究院科技工程股份有限公司,其他股份有限公司(非上市),028-84339017,edri100@edri.net.cn,成都市成华区双林路251号  ,54529.7876万人民币
中企云链（北京）金融信息服务有限公司,其他有限责任公司,010-59890720,wangping@yljr.com,北京市石景山区石景山路31号院盛景国际广场3号楼918室  ,38600万人民币
浪潮电子信息产业股份有限公司,股份有限公司(上市),0531-85106144,zhangyuyan02@inspur.com,济南市浪潮路1036号  ,145372.131万人民币
上海阑途信息技术有限公司,有限责任公司(外商投资企业法人独资),021-31787688,caominxiang@tuhu.cn,上海市闵行区莲花南路2588号3幢307室  ,600000万人民币
深圳市法本信息技术股份有限公司,股份有限公司(上市、自然人投资或控股),0755-23633188,mkt@farben.com.cn,广东省深圳市南山区西丽街道松坪山社区高新北六道15号昱大顺科技园B座1层-6层  ,22009.9166万人民币
北京易华录信息技术股份有限公司,其他股份有限公司(上市),13811077656,cuijh@ehualu.com,北京市石景山区阜石路165号院1号楼1001室  ,66599.0133万人民币
